Capital,State,Country
Montgomery,Alabama,US
Juneau,Alaska,US
Phoenix,Arizona,US
Little Rock,Arkansas,US
Sacramento,California,US
Denver,Colorado,US
Hartford,Connecticut,US
Dover,Delaware,US
Tallahassee,Florida,US
Atlanta,Georgia,US
Honolulu,Hawaii,US
Boise,Idaho,US
Springfield,Illinois,US
Indianapolis,Indiana,US
Des Moines,Iowa,US
Topeka,Kansas,US
Frankfort,Kentucky,US
Baton Rouge,Louisiana,US
Augusta,Maine,US
Annapolis,Maryland,US
Boston,Massachusetts,US
Lansing,Michigan,US
Saint Paul,Minnesota,US
Jackson,Mississippi,US
Jefferson City,Missouri,US
Helena,Montana,US
Lincoln,Nebraska,US
Carson City,Nevada,US
Concord,New Hampshire,US
Trenton,New Jersey,US
Santa Fe,New Mexico,US
Albany,New York,US
Raleigh,North Carolina,US
Bismarck,North Dakota,US
Columbus,Ohio,US
Oklahoma City,Oklahoma,US
Salem,Oregon,US
Harrisburg,Pennsylvania,US
Providence,Rhode Island,US
Columbia,South Carolina,US
Pierre,South Dakota,US
Nashville,Tennessee,US
Austin,Texas,US
Salt Lake City,Utah,US
Montpelier,Vermont,US
Richmond,Virginia,US
Olympia,Washington,US
Charleston,West Virginia,US
Madison,Wisconsin,US
Cheyenne,Wyoming,US